year,fips,state_fips,county_fips,edu_universe_25_plus,no_schooling,high_school_diploma,ged,associates_degree,bachelors_degree,masters_degree,professional_degree,doctorate_degree
2014,27019,27,019,62567,649,12130,793,6411,20726,7133,1030,651
2014,27037,27,037,276114,1861,54127,6011,30363,77677,27171,5924,2349
2014,27053,27,053,833967,11475,128206,19532,74012,251949,100055,26403,16189
2014,27109,27,109,102187,932,16776,3601,10270,23501,10413,5497,4010
2014,27123,27,123,351054,10694,65037,11051,29238,85903,36973,10845,9814
2014,27131,27,131,41645,729,10546,943,4424,7089,2716,736,711
2014,27137,27,137,137253,809,34036,6384,17777,26179,8483,1810,1086
2014,27139,27,139,88494,930,18381,2526,10090,23580,8144,1084,708
2014,27141,27,141,58491,634,13715,2468,6453,11934,3504,1150,349
2014,27145,27,145,94073,816,25012,1701,11200,18441,5991,1716,1545
2014,27163,27,163,167252,871,30465,5330,19384,46834,16874,3541,4180
2014,27171,27,171,82713,374,20411,2334,10923,17942,3713,1066,571
2014,28033,28,033,110675,833,26246,6706,11266,16610,5816,1031,823
2014,28035,28,035,46597,216,10109,2720,3655,6620,3360,1359,872
2014,28047,28,047,130259,1931,30406,9255,8902,17240,6903,1169,1125
2014,28049,28,049,154155,1707,29327,5336,12611,26953,12329,3730,2574
2014,28059,28,059,94023,602,23340,5519,10210,12965,7101,1025,440
2014,28067,28,067,44876,774,12305,2915,4206,4853,3041,207,0
2014,28075,28,075,52372,609,15271,2877,5704,6123,2087,517,494
2014,28081,28,081,55623,311,10484,3102,5721,8665,3154,733,229
2014,28089,28,089,66741,438,10479,1360,4468,16260,7431,4611,1147
2014,28121,28,121,100360,886,19662,5327,10461,17463,7842,1796,953
2014,29019,29,019,100468,484,18227,3093,7459,24502,12811,3151,4448
2014,29021,29,021,59191,390,17809,3914,3000,7744,2150,1144,624
2014,29031,29,031,50049,691,14183,2363,2614,9982,3753,766,604
2014,29037,29,037,68551,398,19544,3488,4369,10359,4945,598,678
2014,29043,29,043,55172,577,14975,2494,4350,9672,3968,803,653
2014,29047,29,047,156609,1543,41879,5973,12759,32523,12452,1429,1559
2014,29051,29,051,52441,255,13363,3830,4220,11219,3830,1132,394
2014,29071,29,071,69969,251,19612,4669,6407,7085,3547,759,534
2014,29077,29,077,185889,673,46446,9183,12790,33909,13947,3375,2751
2014,29095,29,095,459204,5315,117796,18106,33960,87576,35474,7695,4535
2014,29097,29,097,76217,677,22108,5788,5269,11393,2893,539,335
2014,29099,29,099,151083,1125,41408,8302,16696,18524,9345,801,1076
2014,29165,29,165,64133,251,12176,1746,4302,16254,7358,1374,867
2014,29183,29,183,254083,1733,54903,9836,24832,59067,26720,2323,2119
2014,29187,29,187,46045,230,13944,3807,5072,3118,2389,668,273
2014,29189,29,189,689533,4052,130836,19156,50512,172214,84336,23821,14862
2014,29510,29,510,219774,3127,42929,9410,14188,38434,22509,6185,3293
2014,30013,30,013,55401,317,12684,2917,5021,9900,4638,671,113
2014,30029,30,029,66962,336,18736,2796,6760,12909,3138,1436,1000
2014,30031,30,031,61458,66,11292,2036,3030,18641,7463,715,2026
2014,30049,30,049,46357,217,9820,2698,2993,10351,4572,1477,417
