year,fips,state_fips,county_fips,poverty_universe,below_poverty_level,snap_universe,snap_received,snap_not_received,families_poverty_universe,families_below_poverty,poverty_by_age_universe,poverty_by_age_below,ratio_income_poverty_universe,ratio_under_0_50,ratio_0_50_to_0_99,ratio_1_00_to_1_24,ratio_1_25_to_1_49,ratio_1_50_to_1_84,ratio_1_85_to_1_99
2014,17143,17,143,181743,30526,74982,10687,64295,46580,5908,181743,30526,181743,13551,16975,7939,8505,8597,4479
2014,17161,17,161,140334,23797,59384,8524,50860,36438,4224,140334,23797,140334,10686,13111,7346,5240,10221,2553
2014,17163,17,163,261657,50418,99917,15916,84001,65753,9872,261657,50418,261657,24163,26255,13777,8157,10898,5523
2014,17167,17,167,194649,31282,83286,11590,71696,50141,5470,194649,31282,194649,13757,17525,8231,7365,10089,4107
2014,17179,17,179,132687,11372,53763,4746,49017,36757,1864,132687,11372,132687,7183,4189,3211,5759,7820,3442
2014,17183,17,183,75632,14169,31338,5360,25978,19244,3071,75632,14169,75632,6489,7680,3607,4756,4358,2859
2014,17197,17,197,674552,53319,224012,21976,202036,171991,10779,674552,53319,674552,19698,33621,21782,25051,28426,16496
2014,17199,17,199,64818,9509,27211,4018,23193,19020,1757,64818,9509,64818,3988,5521,2706,3503,3029,3096
2014,17201,17,201,282978,48187,114034,19296,94738,71045,9945,282978,48187,282978,27637,20550,13162,17237,18869,6555
2014,18003,18,003,358786,54335,138980,19541,119439,92518,10592,358786,54335,358786,20827,33508,20491,16056,24563,13577
2014,18005,18,005,79290,10036,31827,4538,27289,,,79290,10036,79290,2295,7741,3392,3194,5874,2077
2014,18019,18,019,112718,10103,42686,4072,38614,,,112718,10103,112718,3941,6162,6810,5309,6377,2963
2014,18035,18,035,109934,24051,45207,6220,38987,26768,3393,109934,24051,109934,13410,10641,7032,5657,7722,2758
2014,18039,18,039,197410,28183,70636,9304,61332,50555,5654,197410,28183,197410,14702,13481,9064,11880,13488,6417
2014,18043,18,043,74830,8136,29679,2679,27000,20274,1697,74830,8136,74830,3418,4718,1890,5109,3656,1565
2014,18053,18,053,63751,12680,25600,4174,21426,17946,2937,63751,12680,63751,4873,7807,3148,2902,4989,1234
2014,18057,18,057,300561,14953,110844,5262,105582,84469,2912,300561,14953,300561,5344,9609,3595,5901,9883,6594
2014,18059,18,059,71353,5179,26700,1628,25072,,,71353,5179,71353,1340,3839,2171,1152,4807,901
