year,county_fips,unemployment_rate
2023,01009,2.1
2023,01009,2.2
2023,01009,2.3
2023,01009,2.2
2023,01009,2.2
2023,01009,1.7
2023,01009,1.5
2023,01009,1.8
2023,01009,2.1
2023,01009,2.1
2022,01009,1.6
2022,01009,1.8
2022,01009,2
2022,01009,2
2022,01009,2.3
2022,01009,2.3
2022,01009,2.6
2022,01009,1.8
2022,01009,1.7
2022,01009,2
2022,01009,2.4
2022,01009,2.5
2024,01011,4.1
2024,01011,4.3
2024,01011,4.2
2024,01011,4.3
2024,01011,4.6
2024,01011,4.7
2024,01011,4
2024,01011,2.7
2024,01011,2.3
2024,01011,2.8
2024,01011,3.6
2024,01011,3.1
2023,01011,2.5
2023,01011,2.2
2023,01011,2.4
2023,01011,2.7
2023,01011,3
2023,01011,2.9
2023,01011,2.9
2023,01011,2
2023,01011,1.7
2023,01011,2.3
2023,01011,2.7
2023,01011,3.3
2022,01011,2.5
2022,01011,2.6
2022,01011,3
2022,01011,2.8
2022,01011,3.5
2022,01011,3.6
2022,01011,3.6
2022,01011,2.7
2022,01011,2.5
2022,01011,2.9
2022,01011,3.5
2022,01011,3.8
2024,01013,4.1
2024,01013,3.9
2024,01013,3.8
2024,01013,3.6
2024,01013,4.2
2024,01013,4.5
2024,01013,4.3
2024,01013,3.1
2024,01013,3.1
2024,01013,3.6
2024,01013,4.1
2024,01013,3.9
2023,01013,2.9
2023,01013,2.8
2023,01013,3.1
2023,01013,3.1
2023,01013,3.3
2023,01013,3.1
2023,01013,3.4
2023,01013,2.5
2023,01013,2.3
2023,01013,2.8
2023,01013,3.3
2023,01013,3.3
2022,01013,2.7
2022,01013,2.7
2022,01013,3.2
2022,01013,3.2
2022,01013,3.9
2022,01013,4.1
2022,01013,4
2022,01013,3
2022,01013,3
2022,01013,3.5
2022,01013,4.2
2022,01013,4.6
2024,01015,3.4
2024,01015,3.5
2024,01015,3.4
2024,01015,3.3
2024,01015,3.8
2024,01015,3.7
2024,01015,3.3
2024,01015,2.4
2024,01015,2.4
2024,01015,2.9
2024,01015,3.4
2024,01015,3.3
2023,01015,2.6
2023,01015,2.7
2023,01015,2.7
2023,01015,2.8
2023,01015,2.9
2023,01015,2.9
2023,01015,2.8
2023,01015,2.1
2023,01015,1.8
2023,01015,2.2
2023,01015,2.5
2023,01015,2.6
2022,01015,2
2022,01015,2.2
2022,01015,2.5
2022,01015,2.6
2022,01015,3
2022,01015,3.1
2022,01015,3.3
2022,01015,2.4
2022,01015,2.3
2022,01015,2.8
2022,01015,3.2
2022,01015,3.4
2024,01017,2.8
2024,01017,2.9
2024,01017,2.8
2024,01017,2.7
2024,01017,3.1
2024,01017,3.3
2024,01017,2.9
2024,01017,2.2
2024,01017,2.1
2024,01017,2.5
2024,01017,2.9
2024,01017,3.2
2023,01017,2.3
2023,01017,2.1
2023,01017,2.3
2023,01017,2.3
2023,01017,2.5
2023,01017,2.6
2023,01017,2.4
2023,01017,1.8
2023,01017,1.5
2023,01017,1.8
2023,01017,2.2
2023,01017,2.4
2022,01017,1.9
2022,01017,2.1
2022,01017,2.2
2022,01017,2.2
2022,01017,2.7
2022,01017,2.7
2022,01017,2.8
2022,01017,2
2022,01017,1.8
2022,01017,2.2
2022,01017,2.5
2022,01017,2.9
2024,01019,3
2024,01019,3.2
2024,01019,3.1
2024,01019,3
2024,01019,3.5
2024,01019,3.4
2024,01019,3.1
2024,01019,2.4
2024,01019,2.5
2024,01019,2.9
2024,01019,3.2
2024,01019,3.5
2023,01019,2.7
2023,01019,2.8
2023,01019,2.4
2023,01019,2.6
2023,01019,2.8
2023,01019,2.7
2023,01019,2.7
2023,01019,2.2
2023,01019,2.4
2023,01019,2.4
2023,01019,2.7
2023,01019,2.7
2022,01019,2.1
2022,01019,2.2
2022,01019,2.4
2022,01019,2.4
2022,01019,2.6
2022,01019,2.7
2022,01019,2.9
2022,01019,2.1
2022,01019,2
2022,01019,2.4
2022,01019,2.8
2022,01019,3.1
2024,01021,2.8
2024,01021,2.8
2024,01021,2.9
2024,01021,2.8
2024,01021,3.3
2024,01021,3.2
2024,01021,3
2024,01021,2.2
2024,01021,2.1
2024,01021,2.6
2024,01021,2.9
2024,01021,2.7
2023,01021,2.2
2023,01021,2.2
2023,01021,2.1
2023,01021,2.3
2023,01021,2.6
2023,01021,2.5
2023,01021,2.5
2023,01021,1.8
2023,01021,1.6
2023,01021,1.9
2023,01021,2.3
2023,01021,2.3
2022,01021,1.7
2022,01021,2
2022,01021,2
2022,01021,2.1
2022,01021,2.5
2022,01021,2.5
2022,01021,2.8
2022,01021,2
2022,01021,1.9
2022,01021,2.4
2022,01021,2.5
2022,01021,2.8
2024,01023,4.7
2024,01023,4.7
2024,01023,4.8
2024,01023,4.8
2024,01023,5.1
2024,01023,4.9
2024,01023,4.9
2024,01023,3.4
2024,01023,3.5
2024,01023,4
2024,01023,4.5
2024,01023,4.8
2023,01023,3.9
2023,01023,4.1
2023,01023,3.6
2023,01023,3.9
2023,01023,4.2
2023,01023,4.1
2023,01023,4.2
2023,01023,3
2023,01023,2.9
2023,01023,3.3
2023,01023,3.9
2023,01023,4.4
2022,01023,3.4
2022,01023,3.2
2022,01023,3.4
2022,01023,3.4
2022,01023,3.9
2022,01023,4.2
2022,01023,4.3
2022,01023,3.2
2022,01023,3
2022,01023,3.2
2022,01023,3.8
2022,01023,3.9
2024,01025,6
2024,01025,5.7
2024,01025,5.4
2024,01025,5.5
2024,01025,5.8
2024,01025,5.7
2024,01025,5.4
2024,01025,3.7
2024,01025,3.7
2024,01025,4.4
2024,01025,5.2
2024,01025,5.9
2023,01025,4.5
2023,01025,4
2023,01025,4.1
2023,01025,4.1
2023,01025,4.4
2023,01025,4.4
2023,01025,4.7
2023,01025,3.7
2023,01025,3.4
2023,01025,4.1
2023,01025,4.6
2023,01025,5.2
2022,01025,5.3
2022,01025,4
2022,01025,4.1
2022,01025,4.2
2022,01025,4.6
2022,01025,4.6
2022,01025,4.5
2022,01025,3.2
2022,01025,3.2
2022,01025,3.8
2022,01025,4.5
2022,01025,4.9
2024,01027,3.3
2024,01027,3.1
2024,01027,3.1
2024,01027,2.9
2024,01027,3.2
2024,01027,3.4
2024,01027,3.3
2024,01027,2.4
2024,01027,2.2
2024,01027,2.9
2024,01027,3.2
2024,01027,2.9
2023,01027,2.4
2023,01027,2.6
2023,01027,2.3
2023,01027,2.6
2023,01027,2.6
2023,01027,2.3
2023,01027,2.6
2023,01027,2
2023,01027,1.8
2023,01027,2.3
2023,01027,2.8
2023,01027,2.6
2022,01027,2.2
2022,01027,2
2022,01027,2.2
