year,fips,state_fips,county_fips,median_household_income,aggregate_household_income,hh_income_universe,hh_income_under_10k,hh_income_10k_to_15k,hh_income_15k_to_20k,hh_income_20k_to_25k,hh_income_25k_to_30k,hh_income_30k_to_35k,hh_income_35k_to_40k,hh_income_40k_to_45k,hh_income_45k_to_50k,hh_income_50k_to_60k,hh_income_60k_to_75k,hh_income_75k_to_100k,hh_income_100k_to_125k,hh_income_125k_to_150k,hh_income_150k_to_200k,hh_income_200k_plus,per_capita_income,gini_index
2014,06019,06,019,43423,18635407300,297993,26038,22646,18202,18250,19866,18403,14488,14061,12714,21017,27389,30862,20054,12657,12292,9054,20170,0.4810
2014,06023,06,023,40598,2871403200,53195,3619,6216,3482,3637,3734,2993,2553,3302,2899,4646,4269,5335,2397,1398,1738,977,22637,0.4603
2014,06025,06,025,39290,2553865500,43635,3997,5000,2916,3475,2443,2249,1898,1560,1730,2813,3502,4401,2680,1974,1690,1307,16226,0.4840
2014,06029,06,029,47644,17175467700,261135,19059,16538,15867,17977,13626,13224,16182,11181,10217,18775,26156,29203,21676,11873,11938,7643,20488,0.4608
2014,06031,06,031,42784,2497012600,41596,2982,3149,2805,2951,2383,2563,2875,1832,2108,2410,4141,4526,2332,1954,1848,737,17378,0.4596
2014,06033,06,033,34529,1298240300,27636,3473,2686,2645,1794,1797,1510,1628,1239,898,2013,2304,2488,1479,848,421,413,20798,0.4705
2014,06037,06,037,55746,271677764200,3269112,214357,188504,173744,178476,157471,160392,141603,142579,124047,237853,306083,371954,269279,165460,202823,234487,28373,0.5045
2014,06039,06,039,42433,2509648400,42895,3926,2219,3001,2862,2452,2305,3068,2529,1316,3305,4625,4043,3499,1841,1060,844,17601,0.4496
2014,06041,06,041,95749,15238931700,103509,4649,3209,3185,2638,2180,3245,2652,2909,4179,5442,7573,10999,10999,6710,10271,22669,59824,0.5180
2014,06045,06,045,42660,2086871600,33464,3029,2695,2441,2212,1773,2646,1052,1861,1350,2445,3513,2667,1998,1617,1211,954,24938,0.5021
2014,06047,06,047,44084,4731635400,79255,4678,6121,4429,5538,4766,5781,5090,3850,2934,7928,7286,8386,4396,3592,2574,1906,18585,0.4423
2014,06053,06,053,57864,10331887600,123920,5757,5854,4117,6817,6853,6090,6121,5389,5853,11183,13679,15689,8953,6248,6773,8544,25712,0.4805
2014,06055,06,055,74123,5142439400,50516,1892,1864,1497,2209,2247,2197,1225,2361,2155,3478,4308,6922,5582,2935,4174,5470,37731,0.4689
2014,06057,06,057,56917,3120217100,40186,1554,1718,1547,2261,1695,2812,1898,1781,2229,3075,4130,5735,3925,1649,2143,2034,32374,0.4454
