year,fips,state_fips,county_fips,total_workers,drove_alone,carpooled,public_transit,bus,subway,bicycle,walked,worked_from_home,total_households_vehicles,no_vehicle,one_vehicle,two_vehicles,three_vehicles,four_plus_vehicles
2014,12009,12,009,227048,182489,22337,1439,1319,79,1909,1986,12663,225226,14932,90701,88260,23639,7694
2014,12011,12,011,900211,718526,80518,27124,25937,0,4710,10930,47309,665192,48544,277077,251115,66466,21990
2014,12021,12,021,141544,102517,15259,6022,5832,0,2918,1837,10549,133162,8323,56460,53847,11137,3395
2014,12031,12,031,414734,330818,41719,7739,7518,0,2537,5440,19111,340985,31386,130377,128815,37840,12567
2014,12033,12,033,140477,105252,15072,683,683,0,600,1528,16007,115094,7467,44242,47433,12150,3802
2014,12057,12,057,623176,500307,49304,9910,9811,56,6433,9544,37900,489603,34223,196834,191383,52652,14511
2014,12071,12,071,273902,223337,23402,2350,2350,0,2763,2396,14417,263295,13415,119612,101646,23515,5107
2014,12073,12,073,136668,110848,12117,3669,3669,0,657,3339,4871,112145,8609,41350,44027,12612,5547
2014,12081,12,081,143335,118764,11100,710,683,0,248,1872,9368,137695,7092,58800,53331,15114,3358
2014,12083,12,083,118125,94288,12813,737,677,0,387,1233,6498,132275,7389,61075,47197,12793,3821
2014,12086,12,086,1220627,949860,110203,61397,53716,165,7055,24043,55592,843887,87199,340038,292194,91062,33394
2014,12095,12,095,603757,476296,62789,17507,17144,0,4934,6826,29274,444543,30677,172850,178665,46925,15426
2014,12097,12,097,130820,104954,13484,2489,2489,0,566,760,6361,89328,5002,35040,35099,10159,4028
2014,12099,12,099,630241,498071,54008,14338,12824,0,5105,11114,33924,538246,34622,234209,202591,50858,15966
2014,12101,12,101,188227,152227,14812,1333,1333,0,764,1919,14030,186999,10847,81638,70303,18804,5407
2014,12103,12,103,420895,344587,27198,7943,7693,0,3993,7422,21532,402575,35160,187502,141112,30183,8618
2014,12105,12,105,247528,200814,27086,518,411,0,542,3108,10171,218286,14788,91205,80018,25042,7233
2014,12111,12,111,111122,84569,15503,405,153,0,915,810,6533,108771,7686,46962,39942,10010,4171
2014,12115,12,115,158614,132316,10222,779,754,0,3180,1649,9076,175881,9400,79275,69390,13327,4489
2014,12117,12,117,212389,176033,15240,520,354,0,660,960,15894,148732,3926,56677,63695,18571,5863
2014,12127,12,127,204074,164053,19144,1853,1731,0,2271,2112,10424,200729,12132,85781,77039,19874,5903
2014,13021,13,021,56153,45625,5838,836,836,0,81,1587,1753,56135,6639,23286,17167,7024,2019
2014,13051,13,051,127640,102401,10957,3362,3320,0,1651,3312,3689,106188,8244,42515,38487,12700,4242
2014,13063,13,063,113922,89345,13007,3025,1972,0,0,2224,3411,88538,5529,38916,27868,12062,4163
2014,13067,13,067,367456,290909,33221,5064,4460,0,335,2808,25928,271686,10834,90762,114477,41724,13889
2014,13089,13,089,350445,251128,38042,27132,19478,83,569,5947,23298,266307,23421,109697,93919,29094,10176
2014,13117,13,117,97641,76749,10109,762,690,0,78,961,8168,66429,1484,13685,33432,13502,4326
2014,13121,13,121,474700,345156,40746,34331,20447,247,1268,13138,36200,381990,48009,156607,130086,35143,12145
2014,13135,13,135,418998,332324,49946,5264,4422,0,862,4270,22887,278652,11118,84862,118085,42979,21608
2014,13139,13,139,86727,68603,11653,257,177,0,125,296,3515,63383,3312,17614,25840,11615,5002
2014,13151,13,151,89750,70156,10286,487,487,0,158,875,6965,68524,2203,21462,27256,11895,5708
2014,13215,13,215,91410,73530,10369,1679,1620,0,405,1238,3031,74339,8830,27406,26166,8344,3593
2014,15003,15,003,490665,310833,70239,45544,45483,0,6131,26442,16551,309002,29525,106455,110775,39081,23166
2014,15009,15,009,79311,55258,12179,2123,2062,0,810,1915,4894,54303,3270,17306,19677,9175,4875
2014,16001,16,001,204186,165373,15314,853,840,13,3920,3032,14277,159896,6924,50550,66576,25228,10618
2014,16019,16,019,45819,34842,5371,1267,1267,0,522,1121,2330,36420,1173,10415,14637,6016,4179
2014,16027,16,027,82998,63203,9222,283,283,0,889,1067,7772,66791,2740,21178,25547,12924,4402
2014,17031,17,031,2441244,1514385,197224,457061,203484,1848,24994,106813,107914,1938055,341757,789336,591064,155840,60058
2014,17043,17,043,472930,368255,34768,32023,2007,77,1572,7559,25231,338548,12351,102369,154221,51440,18167
2014,17089,17,089,256243,205930,22823,7897,1290,0,867,4028,12056,172350,7716,47208,74637,27799,14990
2014,17097,17,097,348858,269496,25247,15627,1991,0,601,12790,21492,240673,11567,68121,106392,39058,15535
2014,17111,17,111,158106,127306,11977,5047,187,0,255,1301,10545,109417,3124,27108,49580,20110,9495
2014,17113,17,113,89555,71628,8390,1855,1830,0,424,3749,2629,66361,4368,22153,28770,7322,3748
2014,17119,17,119,123550,104776,8705,3251,3220,0,138,1120,5034,106253,8007,34482,40276,17937,5551
2014,17143,17,143,84341,69751,7112,2259,2259,0,644,2116,2023,74982,6547,30159,26921,7740,3615
2014,17163,17,163,114764,93601,6593,6656,3145,336,181,1842,4194,99917,9634,33258,37423,13901,5701
2014,17167,17,167,96327,79843,6325,2202,2072,0,192,2606,3462,83286,6374,29597,34443,9773,3099
2014,17197,17,197,336752,285477,21226,12747,2139,50,332,2123,11907,224012,7489,57313,99658,42123,17429
2014,17201,17,201,129451,106729,11757,2013,1623,0,979,1239,4812,114034,10375,42093,39913,15517,6136
2014,18003,18,003,170702,141688,16284,1667,1570,0,468,2026,7258,138980,11897,46610,54466,18605,7402
2014,18039,18,039,93018,73104,12088,218,218,0,1569,1297,3502,70636,6563,21406,29129,9010,4528
2014,18057,18,057,157511,131649,11960,346,121,225,362,907,11323,110844,2358,25804,59687,16822,6173
2014,18089,18,089,207858,175377,16686,5007,1559,61,468,2620,5272,182108,16799,64433,66368,24684,9824
2014,18097,18,097,435477,356453,42672,10254,10145,0,1915,6869,13741,360783,36211,147194,123410,39578,14390
2014,18127,18,127,79337,69147,3416,1157,209,0,255,1714,3235,61797,1894,19222,24641,11076,4964
2014,18141,18,141,125487,103029,10556,2122,1756,0,640,4074,4152,101296,8785,34080,39383,13623,5425
2014,18157,18,157,83450,61196,9110,2482,2482,0,892,6094,2810,65834,5285,24293,25222,7771,3263
2014,18163,18,163,85364,72657,7606,834,834,0,220,1171,2235,73663,5810,27693,26521,10587,3052
2014,19061,19,061,51306,41775,3960,488,488,0,192,2169,2195,38824,2453,11367,16001,6397,2606
2014,19103,19,103,74911,51703,6367,3700,3700,0,2030,6247,3967,55574,2800,19373,23456,6577,3368
2014,19113,19,113,113703,95671,10800,714,691,0,475,2339,3064,88216,4428,25782,38770,14263,4973
2014,19153,19,153,242551,199920,23714,2805,2684,0,954,3463,10179,179188,9852,57347,76377,24641,10971
2014,19163,19,163,85590,71531,7371,937,937,0,135,1343,4058,67822,4286,23384,27429,9517,3206
2014,19169,19,169,48796,35558,2819,3652,3652,0,437,3304,2656,35880,2538,11353,14940,4555,2494
2014,20091,20,091,298180,256087,20474,1351,1188,53,547,2152,15895,220587,7366,67930,100948,33204,11139
2014,20173,20,173,236310,199206,22636,964,907,0,475,2755,6966,191636,11055,63260,76110,28349,12862
2014,20177,20,177,83398,70744,8303,372,372,0,399,1090,1723,70857,4795,23407,26398,10631,5626
2014,20209,20,209,67943,53674,10041,675,675,0,229,1106,1718,60106,6856,23307,19607,6921,3415
2014,21111,21,111,362231,292439,31983,10786,10710,0,1688,8051,12720,307676,31715,120180,112684,31776,11321
2014,21151,21,151,40321,32132,3131,34,34,0,285,2042,1559,33257,1944,10941,12452,5521,2399
2014,22017,22,017,104105,89124,7843,2187,2187,0,27,1512,2593,94854,11500,37838,29977,12286,3253
2014,22033,22,033,213217,174185,22292,3109,3109,0,592,5104,5619,170572,11350,67884,66346,19370,5622
2014,22051,22,051,205934,171538,22310,1799,1757,0,519,3335,4420,169033,13501,67365,63747,16952,7468
